# markerAvrg: average marker throughout entire volume of phantom (including in- and outlets)
# roi1_markerAvrg: average marker in full phantom volume (without in- and outlets)
# roi2_markerAvrg: average marker in 30mm sphere on central axis 11mm away from top
# roi3_markerAvrg: average marker in 30mm sphere on central axis 15mm away from top
# roi4_markerAvrg: average marker in sphere segment cut-off at 41.25 mm from top

#time	markerAvrg	roi1_markerAvrg	roi2_markerAvrg	roi3_markerAvrg	roi4_markerAvrg
0.01	0.00010118	3.85273e-31	5.07322e-43	5.40152e-43	1.91688e-41
0.02	0.000201863	6.37321e-26	5.73702e-37	5.99065e-37	1.57762e-35
0.03	0.00030206	1.70158e-23	2.3165e-34	2.36295e-34	8.15675e-33
0.04	0.000401767	7.14307e-22	1.34602e-32	1.35448e-32	5.04899e-31
0.05	0.000500911	1.37891e-20	3.45505e-31	3.44026e-31	1.32186e-29
0.06	0.000599584	1.81992e-19	5.80209e-30	5.72691e-30	2.23662e-28
0.07	0.000697775	1.82623e-18	7.30164e-29	7.1507e-29	2.81213e-27
0.08	0.000795515	1.54815e-17	7.54902e-28	7.34227e-28	2.89779e-26
0.09	0.000892773	1.1011e-16	6.60805e-27	6.38424e-27	2.51861e-25
0.1	0.000989521	6.6813e-16	4.99821e-26	4.79619e-26	1.8832e-24
0.11	0.00108582	3.57996e-15	3.33886e-25	3.18242e-25	1.24098e-23
0.12	0.00118158	1.67228e-14	1.98708e-24	1.8807e-24	7.26198e-23
0.13	0.00127693	7.23407e-14	1.0746e-23	1.01013e-23	3.85894e-22
0.14	0.00137198	2.97401e-13	5.37522e-23	5.02071e-23	1.90054e-21
0.15	0.00146637	1.07228e-12	2.48427e-22	2.30467e-22	8.62795e-21
0.16	0.00156034	3.60799e-12	1.07061e-21	9.86347e-22	3.6488e-20
0.17	0.00165391	1.13249e-11	4.32101e-21	3.95262e-21	1.44346e-19
0.18	0.00174706	3.37246e-11	1.64405e-20	1.49309e-20	5.38151e-19
0.19	0.00183983	9.50854e-11	5.92299e-20	5.33991e-20	1.8992e-18
0.2	0.00193231	2.58883e-10	2.03235e-19	1.81895e-19	6.38591e-18
0.21	0.00202438	6.68684e-10	6.6665e-19	5.92275e-19	2.0529e-17
0.22	0.00211555	1.56473e-09	2.09346e-18	1.84569e-18	6.31114e-17
0.23	0.00220625	3.4839e-09	6.30982e-18	5.51894e-18	1.86046e-16
0.24	0.00229669	7.49409e-09	1.82869e-17	1.58626e-17	5.26821e-16
0.25	0.00238676	1.55058e-08	5.10532e-17	4.39043e-17	1.43578e-15
0.26	0.00247656	3.10612e-08	1.37577e-16	1.17258e-16	3.77452e-15
0.27	0.00256578	5.95254e-08	3.58557e-16	3.02788e-16	9.59087e-15
